,rating,标题,评论详情,review,sentiment
12,1.0,一堆外挂,ios和安卓 模拟器同服 打个排位到后面全是挂 两回合前还被我吊着打的突然10级一堆三星 还不能举报 wdnmd,一堆外挂，ios和安卓 模拟器同服 打个排位到后面全是挂 两回合前还被我吊着打的突然10级一堆三星 还不能举报 wdnmd,0
13,3.0,发现bug,刚刚在玩的时候发现人物看不到了，只有攻击效果在。连装备都没法给了。 求修复啊！！！,发现bug，刚刚在玩的时候发现人物看不到了，只有攻击效果在。连装备都没法给了。 求修复啊！！！,0
14,1.0,垃圾游戏，每天过来骂你一次,垃圾游戏，玩到后期不停的闪退，还请水军来刷好评，有这功夫怎么不去解决闪退，卡顿的问题，问题解决了不就没差评了,垃圾游戏，每天过来骂你一次，垃圾游戏，玩到后期不停的闪退，还请水军来刷好评，有这功夫怎么不去解决闪退，卡顿的问题，问题解决了不就没差评了,0
15,1.0,一个老玩家的愤怒,作为一个端游自走棋就开始玩到现在的老玩家来说本身游戏理念和体验是不错的 运气是一部分但是运营更重要 可怕的是手游和端游都是巨鸟做的为什么版本更新落差那么大？现在才刚出赖子牌 游廊里面的已经不知道更新到哪里了…每次玩了端游之后还要再来习惯手游这些落后的牌组 真的是搞不懂 希望能同步一下 不然准备弃游索性玩刀塔那种原汁原味的人物从新习惯得了,一个老玩家的愤怒，作为一个端游自走棋就开始玩到现在的老玩家来说本身游戏理念和体验是不错的 运气是一部分但是运营更重要 可怕的是手游和端游都是巨鸟做的为什么版本更新落差那么大？现在才刚出赖子牌 游廊里面的已经不知道更新到哪里了…每次玩了端游之后还要再来习惯手游这些落后的牌组 真的是搞不懂 希望能同步一下 不然准备弃游索性玩刀塔那种原汁原味的人物从新习惯得了,0
16,5.0,嗯嗯感觉很不错哟,"玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!","嗯嗯感觉很不错哟，玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!",1
17,5.0,一款非常好玩的手游,"喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。","一款非常好玩的手游，喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。",1
18,2.0,iPad画质一点都不清晰！,希望iPad画质可以做好点，这样游戏玩着也舒服。,iPad画质一点都不清晰！，希望iPad画质可以做好点，这样游戏玩着也舒服。,0
19,5.0,嗯嗯感觉很不错哟,"玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!","嗯嗯感觉很不错哟，玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!",1
20,5.0,一款非常好玩的手游,"喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。","一款非常好玩的手游，喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。",1
21,5.0,嗯嗯感觉很不错哟,"玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!","嗯嗯感觉很不错哟，玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!",1
22,1.0,我以为这是技术游戏,只要想玩什么阵容紫卡那里绝对卡死，就一个运气游戏，算了算了,我以为这是技术游戏，只要想玩什么阵容紫卡那里绝对卡死，就一个运气游戏，算了算了,0
25,5.0,非常值得推荐的一款赤潮自走棋！可玩性很强，题材新颖，游戏画风也是我喜欢的那一种，希望游戏可以优化得更加好,相信大家都可以看到我的评论，我玩这款赤潮自走棋很久了，非常不错.相信大家都可以看到我的评论，我玩这款赤潮自走棋很久了，非常不错,非常值得推荐的一款赤潮自走棋！可玩性很强，题材新颖，游戏画风也是我喜欢的那一种，希望游戏可以优化得更加好，相信大家都可以看到我的评论，我玩这款赤潮自走棋很久了，非常不错.相信大家都可以看到我的评论，我玩这款赤潮自走棋很久了，非常不错,1
26,5.0,玩了就停不下来！,当初是在赤潮战争艺术里玩的，玩的很少，偶尔玩玩，，后来听说开发了自走棋，没想到被吸粉了。希望开发者能不忘初心，这是一款好游戏，千万别给做成某讯了,玩了就停不下来！，当初是在赤潮战争艺术里玩的，玩的很少，偶尔玩玩，，后来听说开发了自走棋，没想到被吸粉了。希望开发者能不忘初心，这是一款好游戏，千万别给做成某讯了,1
27,5.0,一款非常好玩的手游,"喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。","一款非常好玩的手游，喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。",1
30,5.0,有毒,"超棒,非常好的一款赤潮自走棋希望福利更多一点,感觉还不错,希望后续体验做得更","有毒，超棒,非常好的一款赤潮自走棋希望福利更多一点,感觉还不错,希望后续体验做得更",1
31,5.0,赞一个,新颖的益智类策略游戏能在益智类策略游戏大同小异的时候出这款新玩法的赤潮自走棋真的眼前一亮非常棒五星好评拿好不谢,赞一个，新颖的益智类策略游戏能在益智类策略游戏大同小异的时候出这款新玩法的赤潮自走棋真的眼前一亮非常棒五星好评拿好不谢,1
32,5.0,说实话不怎么玩自走棋但是要提一下经典模式,好玩的赤潮自走棋值得分享策略游戏人生太喜欢这个赤潮自走棋,说实话不怎么玩自走棋但是要提一下经典模式，好玩的赤潮自走棋值得分享策略游戏人生太喜欢这个赤潮自走棋,1
34,5.0,得到的,咯健康卡非常经典的一款这个软件小策略游戏，平时就喜欢玩这种软件策略游戏，既好玩又可以消磨无聊时间，挺不错的。,得到的，咯健康卡非常经典的一款这个软件小策略游戏，平时就喜欢玩这种软件策略游戏，既好玩又可以消磨无聊时间，挺不错的。,1
35,5.0,真赞呀！,"好,非常好玩,策略游戏趣味性很高钻石给的也不算少,挺好玩的,一不小心就玩到后半夜了,","真赞呀！，好,非常好玩,策略游戏趣味性很高钻石给的也不算少,挺好玩的,一不小心就玩到后半夜了,",1
36,5.0,真好这款赤潮自走棋真的挺好玩的。音悦动听。画面多彩，玩法多多，很好玩，推荐给大家,特别有意思这款赤潮自走棋策略游戏真的不错的赤潮自走棋策略游戏，画面清晰，好玩又刺激，一直再玩难以忘怀这里给大家推荐一下啊,真好这款赤潮自走棋真的挺好玩的。音悦动听。画面多彩，玩法多多，很好玩，推荐给大家，特别有意思这款赤潮自走棋策略游戏真的不错的赤潮自走棋策略游戏，画面清晰，好玩又刺激，一直再玩难以忘怀这里给大家推荐一下啊,1
39,5.0,嘻嘻非常棒以后我就指着这呐款赤潮自走棋了。哈哈,"我来给好评策略游戏,总体来说很不错很好玩的赤潮自走棋主要是免费的不像其他策略游戏打着免费策略游戏的称号干着要钱的事","嘻嘻非常棒以后我就指着这呐款赤潮自走棋了。哈哈，我来给好评策略游戏,总体来说很不错很好玩的赤潮自走棋主要是免费的不像其他策略游戏打着免费策略游戏的称号干着要钱的事",1
40,5.0,推荐这款赤潮自走棋真的很好玩，最近让我爱不释手的一款塔防游戏，分享我身边的你们,"一个善对萌新的赤潮自走棋我是个萌新瑟瑟发抖ing,这个赤潮自走棋对待萌新好啊,给了好多福利,打怪升级也好快,开心,给个好评策略游戏啦","推荐这款赤潮自走棋真的很好玩，最近让我爱不释手的一款塔防游戏，分享我身边的你们，一个善对萌新的赤潮自走棋我是个萌新瑟瑟发抖ing,这个赤潮自走棋对待萌新好啊,给了好多福利,打怪升级也好快,开心,给个好评策略游戏啦",1
41,5.0,自走棋题材策略很不错带你领略真实无比的传奇世界ARPG策略中心一款超级不错的赤潮自走棋~设计画面清晰流畅~控制简单,"图像还可以,人物比较Q,玩了一段时间了,不过总体来说还是不错的,画质优良,情节设定也不错,超炫的技能,推荐大家玩一下","自走棋题材策略很不错带你领略真实无比的传奇世界ARPG策略中心一款超级不错的赤潮自走棋~设计画面清晰流畅~控制简单，图像还可以,人物比较Q,玩了一段时间了,不过总体来说还是不错的,画质优良,情节设定也不错,超炫的技能,推荐大家玩一下",1
42,5.0,评价这个赤潮自走棋很好玩,最近无意间接触到了这款赤潮自走棋，非常值得大家好玩玩，策略非常简单易上手,评价这个赤潮自走棋很好玩，最近无意间接触到了这款赤潮自走棋，非常值得大家好玩玩，策略非常简单易上手,1
44,5.0,超级好玩，非常喜欢,策略游戏很好玩！上手非常容易的一款赤潮自走棋！一开始玩还行！挺刺激的赤潮自走棋！可玩性挺高！可以持续玩下去的好策略游戏。,超级好玩，非常喜欢，策略游戏很好玩！上手非常容易的一款赤潮自走棋！一开始玩还行！挺刺激的赤潮自走棋！可玩性挺高！可以持续玩下去的好策略游戏。,1
46,5.0,"从来没有玩过这么好玩的赤潮自走棋了好玩的塔防游戏啊，一起玩的朋友很多，相信游戏会越做越好的，是它充实了我的生活，棒棒,",很完美，策略游戏还是经典的赤潮自走棋元素.真的是绝配哈.玩起来很带感,"从来没有玩过这么好玩的赤潮自走棋了好玩的塔防游戏啊，一起玩的朋友很多，相信游戏会越做越好的，是它充实了我的生活，棒棒,，很完美，策略游戏还是经典的赤潮自走棋元素.真的是绝配哈.玩起来很带感",1
47,5.0,一款非常好玩的手游,"喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。","一款非常好玩的手游，喜欢玩，念念不舍的游戏。最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，画面很漂亮、海陆空全方位体验、最后最重要的就是比端游要省钱的多;玩了下来，总体感觉有点氪金，不然无法前期起飞，除非不氪金，每天耗时8小时以上，还算中等值得给设计师大大的赞控制精品的手游角色设计超漂亮喜欢不错感觉以前玩的游都不好玩一日不玩真是度秒如年玩了-起玩的，极具代入感的流畅技能对于这个游戏的体验什么的我就不说了，只说几点，结界的经验壶. 上限能给取消吗?毕竟御魂不能带观战，-天一刷就是几个小时经验远远超过12w,多了的经验领不到都浪费了很可以啊，再就是氪金的性价比并不高这就导致了相当一部分没有收入的穷学生不舍得花钱购买道具，个人认为寮办可以推出一些不影响游戏平衡的具有性价比氪金道具，比如皮肤券之类的，既能给氪金玩家优越感又能有一部分收入还不影响游戏的平衡，总体来说游戏非常良心无论是咸鱼玩家还是氣金大佬都能达到同一高度，毕竟钱不够拿肝换。给这游戏打call, 刚拉我基友入了坑。",1
48,5.0,嗯嗯感觉很不错哟,"玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!","嗯嗯感觉很不错哟，玩的停不下，稍微充点就能装扮的很炫酷，最好还是去宫仲浩找-OK游，都是无限版，金币砖石这些东西都是无限用，上线就满级了，良心!作为手机游戏，作为在线MMORPG,确实是一个里程碑式的游戏。画质满分，捏脸满分，有一个创新(有 点鸡肋)的命格特色系统。如此便形成了千人千面，风格各异的广阔世界。非常人性化的经验系统(每天砍木头都可以到达经验上限)和无懈可击(完全为服务)的交易系统。中规中矩的传统MMORPG模式，装备升级强化洗练镶嵌宝石..然而这些也只有热衷PVP的玩家才会认真，因为即使穿着副本装稍微用点力也可以无压力日常生活。高修为不过是在帮战和势力战里露个脸而已...吹上天的高自由度，也就偷瓜登高NPC互动之类的，比较失望。希望后续能用心些!",1
50,5.0,"太好了我很喜欢玩这款赤潮自走棋,超级棒的一款赤潮自走棋！这策略也太棒了吧,每天必玩。","还不错能玩,不错的赤潮自走棋,闲的没事玩玩好玩玩上五分钟,,,完全沉迷,,,","太好了我很喜欢玩这款赤潮自走棋,超级棒的一款赤潮自走棋！这策略也太棒了吧,每天必玩。，还不错能玩,不错的赤潮自走棋,闲的没事玩玩好玩玩上五分钟,,,完全沉迷,,,",1
51,5.0,请善待玩家,"哈哈这款赤潮自走棋画面清晰,音效也超级好,奖励又多,玩起来很刺激。这款是好的赤潮自走棋,值得推荐！！","请善待玩家，哈哈这款赤潮自走棋画面清晰,音效也超级好,奖励又多,玩起来很刺激。这款是好的赤潮自走棋,值得推荐！！",1
52,5.0,"继续坚持敷个鸡翅上u*^ο^*不错,游戏很全,四每日活动多。奖励多。玩家也多。游戏很平衡,百玩不厌啊。",很好玩的赤潮自走棋推荐大家来一起玩非常正宗的赤潮自走棋画面精美还支持语音聊天特别方便,"继续坚持敷个鸡翅上u*^ο^*不错,游戏很全,四每日活动多。奖励多。玩家也多。游戏很平衡,百玩不厌啊。，很好玩的赤潮自走棋推荐大家来一起玩非常正宗的赤潮自走棋画面精美还支持语音聊天特别方便",1
